	position	score	seq_len	species	raw_position	strand	align_position
22403	0.0	-0.29920801520347595	1115.0	VT17018|0|MEMB002A|-|1115	0.0	positive	3
22404	-1115.0	0.6483245491981506	1115.0	VT17018|0|MEMB002A|-|1115	0.0	negative	3
22405	-1114.0	-0.9910857081413269	1115.0	VT17018|0|MEMB002A|-|1115	1.0	negative	4
22406	-1113.0	0.4783995747566223	1115.0	VT17018|0|MEMB002A|-|1115	2.0	negative	5
22407	3.0	-0.8841705322265625	1115.0	VT17018|0|MEMB002A|-|1115	3.0	positive	11
22408	-1112.0	0.06336206197738647	1115.0	VT17018|0|MEMB002A|-|1115	3.0	negative	11
22409	5.0	0.06336206197738647	1115.0	VT17018|0|MEMB002A|-|1115	5.0	positive	13
22410	-1110.0	-0.8841705322265625	1115.0	VT17018|0|MEMB002A|-|1115	5.0	negative	13
22411	6.0	-0.8841705322265625	1115.0	VT17018|0|MEMB002A|-|1115	6.0	positive	17
22412	8.0	-0.5216004252433777	1115.0	VT17018|0|MEMB002A|-|1115	8.0	positive	19
22413	-1107.0	0.1158294826745987	1115.0	VT17018|0|MEMB002A|-|1115	8.0	negative	19
22414	9.0	-0.8841705322265625	1115.0	VT17018|0|MEMB002A|-|1115	9.0	positive	20
22415	10.0	0.06336206197738647	1115.0	VT17018|0|MEMB002A|-|1115	10.0	positive	21
22416	-1104.0	0.008914276957511902	1115.0	VT17018|0|MEMB002A|-|1115	11.0	negative	22
22417	12.0	1.0633620023727417	1115.0	VT17018|0|MEMB002A|-|1115	12.0	positive	23
22418	13.0	0.4783995747566223	1115.0	VT17018|0|MEMB002A|-|1115	13.0	positive	24
22419	15.0	3.1788392066955566	1115.0	VT17018|0|MEMB002A|-|1115	15.0	positive	26
22420	-1099.0	0.5938767790794373	1115.0	VT17018|0|MEMB002A|-|1115	16.0	negative	27
22421	-1098.0	-0.9910857081413269	1115.0	VT17018|0|MEMB002A|-|1115	17.0	negative	28
22422	18.0	2.700792074203491	1115.0	VT17018|0|MEMB002A|-|1115	18.0	positive	29
22423	20.0	0.7007919549942017	1115.0	VT17018|0|MEMB002A|-|1115	20.0	positive	31
22424	-1095.0	0.7007919549942017	1115.0	VT17018|0|MEMB002A|-|1115	20.0	negative	31
22425	21.0	-0.29920801520347595	1115.0	VT17018|0|MEMB002A|-|1115	21.0	positive	32
22426	-1093.0	-0.9910857081413269	1115.0	VT17018|0|MEMB002A|-|1115	22.0	negative	33
22427	-1092.0	2.0633621215820312	1115.0	VT17018|0|MEMB002A|-|1115	23.0	negative	34
22428	-1091.0	-0.5216004252433777	1115.0	VT17018|0|MEMB002A|-|1115	24.0	negative	35
22429	25.0	2.0633621215820312	1115.0	VT17018|0|MEMB002A|-|1115	25.0	positive	36
22430	26.0	1.0633620023727417	1115.0	VT17018|0|MEMB002A|-|1115	26.0	positive	37
22431	27.0	-0.8841705322265625	1115.0	VT17018|0|MEMB002A|-|1115	27.0	positive	38
22432	-1086.0	0.1158294826745987	1115.0	VT17018|0|MEMB002A|-|1115	29.0	negative	40
22433	30.0	-0.8841705322265625	1115.0	VT17018|0|MEMB002A|-|1115	30.0	positive	41
22434	-1085.0	0.06336206197738647	1115.0	VT17018|0|MEMB002A|-|1115	30.0	negative	41
22435	31.0	-0.9366379380226135	1115.0	VT17018|0|MEMB002A|-|1115	31.0	positive	42
22436	-1083.0	0.008914276957511902	1115.0	VT17018|0|MEMB002A|-|1115	32.0	negative	43
22437	34.0	3.1788392066955566	1115.0	VT17018|0|MEMB002A|-|1115	34.0	positive	45
22438	-1080.0	1.1788393259048462	1115.0	VT17018|0|MEMB002A|-|1115	35.0	negative	46
22439	-1079.0	0.7007919549942017	1115.0	VT17018|0|MEMB002A|-|1115	36.0	negative	47
22440	-1077.0	2.648324489593506	1115.0	VT17018|0|MEMB002A|-|1115	38.0	negative	49
22441	-1075.0	0.4783995747566223	1115.0	VT17018|0|MEMB002A|-|1115	40.0	negative	78
22442	41.0	-0.9910857081413269	1115.0	VT17018|0|MEMB002A|-|1115	41.0	positive	79
22443	-1073.0	0.06336206197738647	1115.0	VT17018|0|MEMB002A|-|1115	42.0	negative	80
22444	-1072.0	0.7007919549942017	1115.0	VT17018|0|MEMB002A|-|1115	43.0	negative	81
22445	-1071.0	-0.5216004252433777	1115.0	VT17018|0|MEMB002A|-|1115	44.0	negative	82
22446	-1069.0	-0.5216004252433777	1115.0	VT17018|0|MEMB002A|-|1115	46.0	negative	84
22447	48.0	3.1788392066955566	1115.0	VT17018|0|MEMB002A|-|1115	48.0	positive	86
22448	-1066.0	0.5938767790794373	1115.0	VT17018|0|MEMB002A|-|1115	49.0	negative	87
22449	-1065.0	0.008914276957511902	1115.0	VT17018|0|MEMB002A|-|1115	50.0	negative	88
22450	51.0	2.593876838684082	1115.0	VT17018|0|MEMB002A|-|1115	51.0	positive	89
22451	-1063.0	0.5938767790794373	1115.0	VT17018|0|MEMB002A|-|1115	52.0	negative	90
22452	53.0	-0.9910857081413269	1115.0	VT17018|0|MEMB002A|-|1115	53.0	positive	91
22453	-1062.0	-0.9910857081413269	1115.0	VT17018|0|MEMB002A|-|1115	53.0	negative	91
22454	54.0	0.7007919549942017	1115.0	VT17018|0|MEMB002A|-|1115	54.0	positive	92
22455	-1061.0	0.06336206197738647	1115.0	VT17018|0|MEMB002A|-|1115	54.0	negative	92
22456	-1060.0	-0.9910857081413269	1115.0	VT17018|0|MEMB002A|-|1115	55.0	negative	93
22457	-1059.0	1.4783995151519775	1115.0	VT17018|0|MEMB002A|-|1115	56.0	negative	94
22458	-1058.0	-0.5216004252433777	1115.0	VT17018|0|MEMB002A|-|1115	57.0	negative	95
22459	58.0	2.593876838684082	1115.0	VT17018|0|MEMB002A|-|1115	58.0	positive	96
22460	59.0	-0.40612322092056274	1115.0	VT17018|0|MEMB002A|-|1115	59.0	positive	97
22461	-1056.0	-0.40612322092056274	1115.0	VT17018|0|MEMB002A|-|1115	59.0	negative	97
22462	-1055.0	3.1788392066955566	1115.0	VT17018|0|MEMB002A|-|1115	60.0	negative	98
22463	63.0	0.4783995747566223	1115.0	VT17018|0|MEMB002A|-|1115	63.0	positive	101
22464	64.0	1.0633620023727417	1115.0	VT17018|0|MEMB002A|-|1115	64.0	positive	102
22465	65.0	1.5938767194747925	1115.0	VT17018|0|MEMB002A|-|1115	65.0	positive	103
22466	-1049.0	1.1788393259048462	1115.0	VT17018|0|MEMB002A|-|1115	66.0	negative	104
22467	-1048.0	-0.8841705322265625	1115.0	VT17018|0|MEMB002A|-|1115	67.0	negative	105
22468	68.0	-0.5216004252433777	1115.0	VT17018|0|MEMB002A|-|1115	68.0	positive	106
22469	70.0	-0.5216004252433777	1115.0	VT17018|0|MEMB002A|-|1115	70.0	positive	108
22470	71.0	3.1788392066955566	1115.0	VT17018|0|MEMB002A|-|1115	71.0	positive	109
22471	72.0	-0.40612322092056274	1115.0	VT17018|0|MEMB002A|-|1115	72.0	positive	110
22472	-1043.0	-0.40612322092056274	1115.0	VT17018|0|MEMB002A|-|1115	72.0	negative	110
22473	-1042.0	1.5938767194747925	1115.0	VT17018|0|MEMB002A|-|1115	73.0	negative	111
22474	-1041.0	0.4783995747566223	1115.0	VT17018|0|MEMB002A|-|1115	74.0	negative	112
22475	75.0	0.1158294826745987	1115.0	VT17018|0|MEMB002A|-|1115	75.0	positive	113
22476	-1040.0	-0.5216004252433777	1115.0	VT17018|0|MEMB002A|-|1115	75.0	negative	113
22477	-1038.0	-0.8841705322265625	1115.0	VT17018|0|MEMB002A|-|1115	77.0	negative	115
22478	-1037.0	2.648324489593506	1115.0	VT17018|0|MEMB002A|-|1115	78.0	negative	116
22479	81.0	-0.9910857081413269	1115.0	VT17018|0|MEMB002A|-|1115	81.0	positive	119
22480	82.0	0.06336206197738647	1115.0	VT17018|0|MEMB002A|-|1115	82.0	positive	120
22481	-1033.0	0.7007919549942017	1115.0	VT17018|0|MEMB002A|-|1115	82.0	negative	120
22482	-1032.0	0.008914276957511902	1115.0	VT17018|0|MEMB002A|-|1115	83.0	negative	121
22483	84.0	1.4783995151519775	1115.0	VT17018|0|MEMB002A|-|1115	84.0	positive	122
22484	85.0	1.5938767194747925	1115.0	VT17018|0|MEMB002A|-|1115	85.0	positive	123
22485	86.0	-0.29920801520347595	1115.0	VT17018|0|MEMB002A|-|1115	86.0	positive	124
22486	-1029.0	1.1788393259048462	1115.0	VT17018|0|MEMB002A|-|1115	86.0	negative	124
22487	-1028.0	-0.9910857081413269	1115.0	VT17018|0|MEMB002A|-|1115	87.0	negative	125
22488	88.0	0.1158294826745987	1115.0	VT17018|0|MEMB002A|-|1115	88.0	positive	126
22489	-1027.0	-0.5216004252433777	1115.0	VT17018|0|MEMB002A|-|1115	88.0	negative	126
22490	90.0	-0.5216004252433777	1115.0	VT17018|0|MEMB002A|-|1115	90.0	positive	128
22491	-1025.0	0.1158294826745987	1115.0	VT17018|0|MEMB002A|-|1115	90.0	negative	128
22492	91.0	1.5938767194747925	1115.0	VT17018|0|MEMB002A|-|1115	91.0	positive	129
22493	92.0	-0.40612322092056274	1115.0	VT17018|0|MEMB002A|-|1115	92.0	positive	130
22494	-1023.0	-0.40612322092056274	1115.0	VT17018|0|MEMB002A|-|1115	92.0	negative	130
22495	-1022.0	3.1788392066955566	1115.0	VT17018|0|MEMB002A|-|1115	93.0	negative	131
22496	95.0	-0.5216004252433777	1115.0	VT17018|0|MEMB002A|-|1115	95.0	positive	133
22497	97.0	0.5938767790794373	1115.0	VT17018|0|MEMB002A|-|1115	97.0	positive	135
22498	98.0	1.1788393259048462	1115.0	VT17018|0|MEMB002A|-|1115	98.0	positive	136
22499	-1017.0	-0.29920801520347595	1115.0	VT17018|0|MEMB002A|-|1115	98.0	negative	136
22500	-1016.0	1.5938767194747925	1115.0	VT17018|0|MEMB002A|-|1115	99.0	negative	137
22501	-1015.0	1.4783995151519775	1115.0	VT17018|0|MEMB002A|-|1115	100.0	negative	138
22502	101.0	0.008914276957511902	1115.0	VT17018|0|MEMB002A|-|1115	101.0	positive	139
22503	102.0	0.5938767790794373	1115.0	VT17018|0|MEMB002A|-|1115	102.0	positive	140
22504	-1012.0	1.5938767194747925	1115.0	VT17018|0|MEMB002A|-|1115	103.0	negative	141
22505	-1011.0	2.0633621215820312	1115.0	VT17018|0|MEMB002A|-|1115	104.0	negative	142
22506	106.0	0.1158294826745987	1115.0	VT17018|0|MEMB002A|-|1115	106.0	positive	144
22507	-1009.0	-0.5216004252433777	1115.0	VT17018|0|MEMB002A|-|1115	106.0	negative	144
22508	-1007.0	0.1158294826745987	1115.0	VT17018|0|MEMB002A|-|1115	108.0	negative	146
22509	110.0	1.7007919549942017	1115.0	VT17018|0|MEMB002A|-|1115	110.0	positive	148
22510	112.0	0.7007919549942017	1115.0	VT17018|0|MEMB002A|-|1115	112.0	positive	150
22511	-1003.0	0.7007919549942017	1115.0	VT17018|0|MEMB002A|-|1115	112.0	negative	150
22512	113.0	-0.40612322092056274	1115.0	VT17018|0|MEMB002A|-|1115	113.0	positive	153
22513	-1001.0	3.1788392066955566	1115.0	VT17018|0|MEMB002A|-|1115	114.0	negative	154
22514	116.0	0.1158294826745987	1115.0	VT17018|0|MEMB002A|-|1115	116.0	positive	156
22515	-999.0	-0.5216004252433777	1115.0	VT17018|0|MEMB002A|-|1115	116.0	negative	156
22516	-997.0	3.285754442214966	1115.0	VT17018|0|MEMB002A|-|1115	118.0	negative	158
22517	-996.0	-0.5216004252433777	1115.0	VT17018|0|MEMB002A|-|1115	119.0	negative	159
22518	120.0	0.1158294826745987	1115.0	VT17018|0|MEMB002A|-|1115	120.0	positive	160
22519	-995.0	-0.5216004252433777	1115.0	VT17018|0|MEMB002A|-|1115	120.0	negative	160
22520	121.0	-0.40612322092056274	1115.0	VT17018|0|MEMB002A|-|1115	121.0	positive	161
22521	-993.0	1.5938767194747925	1115.0	VT17018|0|MEMB002A|-|1115	122.0	negative	162
22522	-992.0	1.0633620023727417	1115.0	VT17018|0|MEMB002A|-|1115	123.0	negative	163
22523	-991.0	1.4783995151519775	1115.0	VT17018|0|MEMB002A|-|1115	124.0	negative	164
22524	125.0	-0.5216004252433777	1115.0	VT17018|0|MEMB002A|-|1115	125.0	positive	165
22525	126.0	2.0633621215820312	1115.0	VT17018|0|MEMB002A|-|1115	126.0	positive	166
22526	128.0	0.06336206197738647	1115.0	VT17018|0|MEMB002A|-|1115	128.0	positive	168
22527	129.0	2.648324489593506	1115.0	VT17018|0|MEMB002A|-|1115	129.0	positive	169
22528	131.0	-0.5216004252433777	1115.0	VT17018|0|MEMB002A|-|1115	131.0	positive	171
22529	132.0	0.7007919549942017	1115.0	VT17018|0|MEMB002A|-|1115	132.0	positive	172
22530	133.0	0.06336206197738647	1115.0	VT17018|0|MEMB002A|-|1115	133.0	positive	173
22531	134.0	-0.8841705322265625	1115.0	VT17018|0|MEMB002A|-|1115	134.0	positive	177
22532	-981.0	0.5938767790794373	1115.0	VT17018|0|MEMB002A|-|1115	134.0	negative	177
22533	135.0	-0.29920801520347595	1115.0	VT17018|0|MEMB002A|-|1115	135.0	positive	178
22534	-979.0	0.008914276957511902	1115.0	VT17018|0|MEMB002A|-|1115	136.0	negative	179
22535	138.0	0.4783995747566223	1115.0	VT17018|0|MEMB002A|-|1115	138.0	positive	182
22536	139.0	-0.9910857081413269	1115.0	VT17018|0|MEMB002A|-|1115	139.0	positive	183
22537	140.0	0.6483245491981506	1115.0	VT17018|0|MEMB002A|-|1115	140.0	positive	193
22538	-975.0	-0.29920801520347595	1115.0	VT17018|0|MEMB002A|-|1115	140.0	negative	193
22539	-974.0	-0.9910857081413269	1115.0	VT17018|0|MEMB002A|-|1115	141.0	negative	194
22540	142.0	0.008914276957511902	1115.0	VT17018|0|MEMB002A|-|1115	142.0	positive	195
22541	-972.0	1.2857544422149658	1115.0	VT17018|0|MEMB002A|-|1115	143.0	negative	196
22542	-971.0	-0.8841705322265625	1115.0	VT17018|0|MEMB002A|-|1115	144.0	negative	197
