	position	score	seq_len	species	raw_position	strand	align_position
15006	1.0	-1.074141502380371	1115.0	VT17018|0|MEMB002A|-|1115	1.0	positive	4
15007	-1113.0	1.0019614696502686	1115.0	VT17018|0|MEMB002A|-|1115	2.0	negative	5
15008	-1111.0	1.0019614696502686	1115.0	VT17018|0|MEMB002A|-|1115	4.0	negative	12
15009	8.0	1.0019614696502686	1115.0	VT17018|0|MEMB002A|-|1115	8.0	positive	19
15010	10.0	1.0019614696502686	1115.0	VT17018|0|MEMB002A|-|1115	10.0	positive	21
15011	-1103.0	-0.8725075721740723	1115.0	VT17018|0|MEMB002A|-|1115	12.0	negative	23
15012	15.0	0.8644579648971558	1115.0	VT17018|0|MEMB002A|-|1115	15.0	positive	26
15013	16.0	-1.5216004848480225	1115.0	VT17018|0|MEMB002A|-|1115	16.0	positive	27
15014	-1098.0	2.44942045211792	1115.0	VT17018|0|MEMB002A|-|1115	17.0	negative	28
15015	-1097.0	2.0019614696502686	1115.0	VT17018|0|MEMB002A|-|1115	18.0	negative	29
15016	23.0	2.0019614696502686	1115.0	VT17018|0|MEMB002A|-|1115	23.0	positive	34
15017	24.0	2.5869240760803223	1115.0	VT17018|0|MEMB002A|-|1115	24.0	positive	35
15018	-1090.0	3.5869240760803223	1115.0	VT17018|0|MEMB002A|-|1115	25.0	negative	36
15019	-1089.0	1.8644579648971558	1115.0	VT17018|0|MEMB002A|-|1115	26.0	negative	37
15020	-1088.0	0.8644579648971558	1115.0	VT17018|0|MEMB002A|-|1115	27.0	negative	38
15021	29.0	1.0019614696502686	1115.0	VT17018|0|MEMB002A|-|1115	29.0	positive	40
15022	34.0	0.8644579648971558	1115.0	VT17018|0|MEMB002A|-|1115	34.0	positive	45
15023	-1080.0	0.8644579648971558	1115.0	VT17018|0|MEMB002A|-|1115	35.0	negative	46
15024	39.0	2.44942045211792	1115.0	VT17018|0|MEMB002A|-|1115	39.0	positive	77
15025	-1075.0	1.0019614696502686	1115.0	VT17018|0|MEMB002A|-|1115	40.0	negative	78
15026	41.0	2.44942045211792	1115.0	VT17018|0|MEMB002A|-|1115	41.0	positive	79
15027	-1073.0	1.0019614696502686	1115.0	VT17018|0|MEMB002A|-|1115	42.0	negative	80
15028	-1071.0	1.0019614696502686	1115.0	VT17018|0|MEMB002A|-|1115	44.0	negative	82
15029	46.0	1.0019614696502686	1115.0	VT17018|0|MEMB002A|-|1115	46.0	positive	84
15030	47.0	1.0019614696502686	1115.0	VT17018|0|MEMB002A|-|1115	47.0	positive	85
15031	48.0	0.8644579648971558	1115.0	VT17018|0|MEMB002A|-|1115	48.0	positive	86
15032	49.0	-1.5216004848480225	1115.0	VT17018|0|MEMB002A|-|1115	49.0	positive	87
