,score,species,raw_position,strand,align_position,motif
3,8.354093551635742,VT6436|1|MEMB002A|+|2701,792,negative,973,MA0212.1_bcd.jaspar
0,11.612828254699707,VT6436|1|MEMB002B|-|2408,1674,positive,2858,MA0212.1_bcd.jaspar
17,11.612828254699707,VT6436|1|MEMB002D|-|2501,1736,positive,2858,MA0212.1_bcd.jaspar
18,11.612828254699707,VT6436|1|MEMB002E|-|2699,1879,positive,2823,MA0212.1_bcd.jaspar
13,8.354093551635742,VT6436|1|MEMB003A|-|2262,1600,negative,2392,MA0212.1_bcd.jaspar
16,11.612828254699707,VT6436|1|MEMB003B|+|2585,727,negative,872,MA0212.1_bcd.jaspar
4,8.354093551635742,VT6436|1|MEMB003C|-|2741,812,positive,993,MA0212.1_bcd.jaspar
14,8.354093551635742,VT6436|1|MEMB003D|-|2312,1569,negative,2392,MA0212.1_bcd.jaspar
5,8.354093551635742,VT6436|1|MEMB003F|-|2611,1766,negative,2448,MA0212.1_bcd.jaspar
1,11.612828254699707,VT6436|1|MEMB004A|+|2422,1683,positive,2858,MA0212.1_bcd.jaspar
8,11.612828254699707,VT6436|1|MEMB004B|+|2551,1751,negative,2542,MA0212.1_bcd.jaspar
6,8.354093551635742,VT6436|1|MEMB004E|-|2496,1751,negative,2391,MA0212.1_bcd.jaspar
9,11.612828254699707,VT6436|1|MEMB005D|+|2691,1972,positive,2858,MA0212.1_bcd.jaspar
10,8.354093551635742,VT6436|1|MEMB006A|+|2653,967,negative,1328,MA0212.1_bcd.jaspar
11,11.612828254699707,VT6436|1|MEMB006A|+|2653,1934,positive,2858,MA0212.1_bcd.jaspar
2,11.612828254699707,VT6436|1|MEMB007B|-|2711,934,positive,1120,MA0212.1_bcd.jaspar
15,11.612828254699707,VT6436|1|MEMB007C|-|2597,726,negative,872,MA0212.1_bcd.jaspar
7,8.354093551635742,VT6436|1|MEMB008C|+|2558,1742,negative,2448,MA0212.1_bcd.jaspar
12,8.354093551635742,VT6436|1|dkik|+|2321,1582,negative,2392,MA0212.1_bcd.jaspar
