	position	score	seq_len	species	raw_position	strand	align_position
11747	-1115.0	0.902116060256958	1115.0	VT17018|0|MEMB002A|-|1115	0.0	negative	3
11748	2.0	0.06922604143619537	1115.0	VT17018|0|MEMB002A|-|1115	2.0	positive	5
11749	-1113.0	2.294227123260498	1115.0	VT17018|0|MEMB002A|-|1115	2.0	negative	5
11750	4.0	1.0692260265350342	1115.0	VT17018|0|MEMB002A|-|1115	4.0	positive	12
11751	-1111.0	0.04629964381456375	1115.0	VT17018|0|MEMB002A|-|1115	4.0	negative	12
11752	10.0	-0.05940979719161987	1115.0	VT17018|0|MEMB002A|-|1115	10.0	positive	21
11753	12.0	4.255753040313721	1115.0	VT17018|0|MEMB002A|-|1115	12.0	positive	23
11754	13.0	0.09259329736232758	1115.0	VT17018|0|MEMB002A|-|1115	13.0	positive	24
11755	16.0	0.09259329736232758	1115.0	VT17018|0|MEMB002A|-|1115	16.0	positive	27
11756	-1092.0	3.3171534538269043	1115.0	VT17018|0|MEMB002A|-|1115	23.0	negative	34
11757	-1091.0	0.06922604143619537	1115.0	VT17018|0|MEMB002A|-|1115	24.0	negative	35
11758	25.0	4.317153453826904	1115.0	VT17018|0|MEMB002A|-|1115	25.0	positive	36
11759	26.0	1.0541191101074219	1115.0	VT17018|0|MEMB002A|-|1115	26.0	positive	37
11760	31.0	3.2557530403137207	1115.0	VT17018|0|MEMB002A|-|1115	31.0	positive	42
11761	-1084.0	1.007825493812561	1115.0	VT17018|0|MEMB002A|-|1115	31.0	negative	42
11762	33.0	2.0078256130218506	1115.0	VT17018|0|MEMB002A|-|1115	33.0	positive	44
11763	-1077.0	0.902116060256958	1115.0	VT17018|0|MEMB002A|-|1115	38.0	negative	49
11764	-1076.0	-0.19380836188793182	1115.0	VT17018|0|MEMB002A|-|1115	39.0	negative	77
11765	40.0	0.06922604143619537	1115.0	VT17018|0|MEMB002A|-|1115	40.0	positive	78
11766	-1075.0	2.294227123260498	1115.0	VT17018|0|MEMB002A|-|1115	40.0	negative	78
11767	-1073.0	-0.05940979719161987	1115.0	VT17018|0|MEMB002A|-|1115	42.0	negative	80
11768	45.0	0.007825496606528759	1115.0	VT17018|0|MEMB002A|-|1115	45.0	positive	83
11769	-1070.0	1.007825493812561	1115.0	VT17018|0|MEMB002A|-|1115	45.0	negative	83
11770	-1069.0	0.06922604143619537	1115.0	VT17018|0|MEMB002A|-|1115	46.0	negative	84
11771	47.0	1.046299695968628	1115.0	VT17018|0|MEMB002A|-|1115	47.0	positive	85
11772	49.0	0.09259329736232758	1115.0	VT17018|0|MEMB002A|-|1115	49.0	positive	87
11773	52.0	0.09259329736232758	1115.0	VT17018|0|MEMB002A|-|1115	52.0	positive	90
11774	-1061.0	-0.05940979719161987	1115.0	VT17018|0|MEMB002A|-|1115	54.0	negative	92
11775	-1059.0	2.3556277751922607	1115.0	VT17018|0|MEMB002A|-|1115	56.0	negative	94
11776	-1058.0	0.06922604143619537	1115.0	VT17018|0|MEMB002A|-|1115	57.0	negative	95
11777	-1054.0	1.107700228691101	1115.0	VT17018|0|MEMB002A|-|1115	61.0	negative	99
11778	62.0	0.10770019143819809	1115.0	VT17018|0|MEMB002A|-|1115	62.0	positive	100
11779	63.0	3.294227123260498	1115.0	VT17018|0|MEMB002A|-|1115	63.0	positive	101
11780	64.0	2.054119110107422	1115.0	VT17018|0|MEMB002A|-|1115	64.0	positive	102
11781	68.0	0.06922604143619537	1115.0	VT17018|0|MEMB002A|-|1115	68.0	positive	106
11782	69.0	0.04629964381456375	1115.0	VT17018|0|MEMB002A|-|1115	69.0	positive	107
